"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2496","Lanza UdeG el Programa “Desde casa”, préstamo de computadoras para estudiantes","NULL","NULL","NULL","Prestará mil laptops y 500 iPads a estudiantes que no cuentan con equipo para conectarse en clase","8884","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8885","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8886","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8887","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8888","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8889","NULL"
"2497","Analizarán especialistas violencia contra la mujer en tiempos del Covid-19","NULL","NULL","NULL","Este miércoles 29 de abril, especialistas en derechos humanos y género abordarán este tema a través de un webinar organizado por la UdeG, mismo que se podrá seguir en vivo a través de redes sociales","8890","NULL"
"2498","UdeG ha apoyado con 7 mil despensas, mediante programa “Ayuda a que otros se queden en casa”","NULL","NULL","NULL","Instalan centros de acopio en todas las preparatorias de la UdeG en Jalisco para apoyar a afectados por contingencia sanitaria","8891","NULL"
"2498","UdeG ha apoyado con 7 mil despensas, mediante programa “Ayuda a que otros se queden en casa”","NULL","NULL","NULL","Instalan centros de acopio en todas las preparatorias de la UdeG en Jalisco para apoyar a afectados por contingencia sanitaria","8892","NULL"
"2498","UdeG ha apoyado con 7 mil despensas, mediante programa “Ayuda a que otros se queden en casa”","NULL","NULL","NULL","Instalan centros de acopio en todas las preparatorias de la UdeG en Jalisco para apoyar a afectados por contingencia sanitaria","8893","NULL"
